Merk;Naam;Vega, Vegan, Waarschijnlijk vegan;Verkrijgbaar bij;Categorie;Subcategorie;Subcategorie
Katja;Zure sticks;Vegan;A-merk;Tussendoor;Snoep;
Katja;Dropharingen;Vegan;A-merk;Tussendoor;Snoep;Drop
Katja;Sallos Xtreme;Vegan;A-merk;Tussendoor;Snoep;Drop
Katja;Sallos Rfresh;Vegan;A-merk;Tussendoor;Snoep;Drop
Duyvis;Tijgernootjes BBQ Paprika;Vegan;A-merk;Tussendoor;Nootjes;
Duyvis;Borrelnootjes Provencaals;Vegan;A-merk;Tussendoor;Nootjes;
Duyvis;Borrelnootjes oriental;Vegan;A-merk;Tussendoor;Nootjes;
Duyvis;Tijgernootjes Paprika fiesta;Vegan;A-merk;Tussendoor;Nootjes;
Ola;Festini Aardbei;Vegan;A-merk;Tussendoor;Ijs;Waterijs
Ola;Festini Peer;Vegan;A-merk;Tussendoor;Ijs;Waterijs
Venco;Gesuikerde fietsen;Vegan;A-merk;Tussendoor;Snoep;Drop
Venco;Droprondo's zoete dropsmaak;Vegan;A-merk;Tussendoor;Snoep;Drop
Venco;Suikervrije zoute drop;Vegan;A-merk;Tussendoor;Snoep;Drop
Venco;Suikervrije zoete drop;Vegan;A-merk;Tussendoor;Snoep;Drop
Vegetarische slager;Bapao No Beef ketjap;Vegan;A-merk;Tussendoor;Snacks;Vers
Red Band;Dropfruit duo ijsjes;Vegan;A-merk;Tussendoor;Ijs;Waterijs
Chovi;Allioli Vegan;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Bolletje;Schuddebuikjes Speculaas;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Zoet
Verkade;San Francisco volkoren;Vegan;A-merk;Tussendoor;Zoet;
Verkade;Glutenvrije Oaties;Vegan;A-merk;Tussendoor;Zoet;
Onest;Quinoa chips Sweet chili;Vegan;A-merk;Tussendoor;Hartig;Chips
Onest;Lentil chips rosemary;Vegan;A-merk;Tussendoor;Hartig;Chips
Onest;Chickpea chips Curry;Vegan;A-merk;Tussendoor;Hartig;Chips
Delicata;Puur gember limoen;Vegan;Albert Heijn;Tussendoor;Zoet;Chocola
Delicata;Puur szechuan peper rijstcrisps;Vegan;Albert Heijn;Tussendoor;Zoet;Chocola
Delicata;Puur lavendel karamel;Vegan;Albert Heijn;Tussendoor;Zoet;Chocola
Delicata;Puur aardbei balsamico;Vegan;Albert Heijn;Tussendoor;Zoet;Chocola
Delicata;Puur bosbes viooltjes;Vegan;Albert Heijn;Tussendoor;Zoet;Chocola
Violife;Greek white block;Vegan;A-merk;Zuivel;Kaas;
Alpro;Almond salted caramel;Vegan;A-merk;Tussendoor;Ijs;Chocola
Alpro;Hazelnut chocolate;Vegan;A-merk;Tussendoor;Ijs;Chocola
Alpro;Madagascan vanilla;Vegan;A-merk;Tussendoor;Ijs;Roomijs
Alpro;Karamel macchiato Swirl;Vegan;A-merk;Tussendoor;Ijs;Roomijs
Alpro;Mango Swirl;Vegan;A-merk;Tussendoor;Ijs;Roomijs
Liga;Haverkick bosvruchten;Vegan;A-merk;Tussendoor;Zoet;
Liga;Haverkick appel;Vegan;A-merk;Tussendoor;Zoet;
Ben&Jerry's;Peanutbutter&Cookies Non-dairy;Vegan;A-merk;Tussendoor;Ijs;Roomijs
Ben&Jerry's;Cookies on cookie dough non-dairy;Vegan;A-merk;Tussendoor;Ijs;Roomijs
Ben&Jerry's;Coconutterly caramel'd non-dairy;Vegan;A-merk;Tussendoor;Ijs;Roomijs
Ben&Jerry's;Chocolate fudge brownie non-dairy;Vegan;A-merk;Tussendoor;Ijs;Roomijs
Wieger Kettellapper;Ware Wieger kruidkoek;Vegan;A-merk;Tussendoor;Zoet;
Bolletje;Vezelrijk beschuit meerzaden;Vegan;A-merk;Ontbijt/lunch;Crackers etc;
Bolletje;Vezelrijk beschuit meergranen;Vegan;A-merk;Ontbijt/lunch;Crackers etc;
Bolletje;Boeren beschuit donker volkoren;Vegan;A-merk;Ontbijt/lunch;Crackers etc;
Bolletje;Boeren beschuit granen & zaden;Vegan;A-merk;Ontbijt/lunch;Crackers etc;
Dr. Oetker;Ristorante pizza rossa vegetale;Vegan;A-merk;Avondeten;Diepvries;Pizza
Aviko;Easy veggie roasted corn;Vegan;A-merk;Avondeten;Diepvries;
Aviko;Easy veggie falafel;Vegan;A-merk;Avondeten;Diepvries;
Aviko;Easy veggie sweet potato;Vegan;A-merk;Avondeten;Diepvries;
Jumbo;Puur chocopasta;Vegan;Jumbo;Ontbijt/lunch;Broodbeleg;Zoet
